Date,Transaction Description,Category,Amount,Type
2023-01-26,Ola,Transport,879,Debit
2024-01-27,Zomato,Food,791,Debit
2023-05-31,Google Drive,Cloud,260,Debit
2024-01-09,Amazon,Shopping,1323,Debit
2024-05-05,Zomato,Food,254,Debit
2024-07-12,Swiggy,Food,786,Debit
2024-08-05,Amazon,Shopping,1880,Debit
2023-06-26,Zomato,Food,1511,Debit
2024-08-25,Flipkart,Shopping,750,Debit
2023-04-15,Amazon,Shopping,935,Debit
2024-08-26,Ola,Transport,1711,Debit
2024-12-13,Ola,Transport,1839,Debit
2023-10-07,Starbucks,Food,1441,Debit
2023-08-22,Flipkart,Shopping,1929,Debit
2023-08-25,Amazon,Shopping,319,Debit
2023-07-23,Uber,Transport,1901,Debit
2024-03-12,Ola,Transport,1602,Debit
2024-04-03,Ola,Transport,1962,Debit
2023-08-03,Ola,Transport,340,Debit
2023-04-17,Ola,Transport,1886,Debit
2023-12-15,Uber,Transport,1992,Debit
2023-11-26,Ola,Transport,1569,Debit
2024-09-13,Zomato,Food,814,Debit
2023-07-15,Flipkart,Shopping,2027,Debit
2024-04-29,Amazon,Shopping,1406,Debit
2023-10-28,Gym Membership,Fitness,1800,Debit
2024-02-04,Ola,Transport,663,Debit
2023-05-12,Zomato,Food,1665,Debit
2024-05-25,Netflix,Entertainment,649,Debit
2023-08-21,Ola,Transport,1442,Debit
2024-12-26,Starbucks,Food,1673,Debit
2024-02-25,Uber,Transport,1141,Debit
2024-10-18,Zomato,Food,779,Debit
2024-08-17,Amazon,Shopping,1271,Debit
2024-07-01,Zomato,Food,1066,Debit
2024-08-23,Credit Card EMI,EMI,5200,Debit
2024-11-29,Zomato,Food,1492,Debit
2024-03-09,Swiggy,Food,780,Debit
2023-12-22,Uber,Transport,702,Debit
2024-07-30,Starbucks,Food,598,Debit
2023-08-26,Amazon,Shopping,926,Debit
2024-04-07,Uber,Transport,1263,Debit
2023-07-30,Internet Bill,Utilities,1541,Debit
2024-05-29,Ola,Transport,1426,Debit
2023-09-14,Swiggy,Food,1481,Debit
2023-04-12,Swiggy,Food,550,Debit
2024-12-21,Hotstar,Entertainment,399,Debit
2023-07-01,Starbucks,Food,2014,Debit
2023-11-09,Zomato,Food,1776,Debit
2024-12-22,Zomato,Food,2104,Debit
2024-01-03,Ola,Transport,1152,Debit
2024-11-15,Ola,Transport,966,Debit
2024-05-06,Starbucks,Food,2010,Debit
2024-01-13,Amazon,Shopping,1420,Debit
2024-12-26,Zomato,Food,423,Debit
2023-09-20,Zomato,Food,1709,Debit
2023-12-11,Ola,Transport,959,Debit
2023-11-04,Zomato,Food,1648,Debit
2024-03-06,Amazon,Shopping,614,Debit
2023-09-22,Swiggy,Food,1132,Debit
2024-07-30,Uber,Transport,1029,Debit
2024-10-23,Zomato,Food,664,Debit
2024-09-03,Swiggy,Food,415,Debit
2023-02-16,Ola,Transport,1877,Debit
2024-06-14,Ola,Transport,689,Debit
2024-04-29,Uber,Transport,1785,Debit
2023-02-07,Uber,Transport,1837,Debit
2024-01-26,Personal Loan EMI,EMI,8700,Debit
2024-11-09,Zomato,Food,521,Debit
2023-06-06,Swiggy,Food,1820,Debit
2023-03-09,Swiggy,Food,2181,Debit
2024-05-16,Ola,Transport,595,Debit
2023-08-31,Flipkart,Shopping,2010,Debit
2023-07-08,Amazon,Shopping,476,Debit
2023-08-24,Zomato,Food,1625,Debit
2023-06-22,Zomato,Food,317,Debit
2024-02-25,Electricity Bill,Utilities,3601,Debit
2023-04-10,Swiggy,Food,421,Debit
2023-09-16,Uber,Transport,1162,Debit
2024-10-22,Mobile Recharge,Utilities,956,Debit
2024-06-13,Amazon,Shopping,1317,Debit
2024-02-26,Uber,Transport,1711,Debit
2023-01-02,Swiggy,Food,1030,Debit
2023-12-13,Starbucks,Food,1565,Debit
2024-07-01,Uber,Transport,1471,Debit
2023-10-05,Flipkart,Shopping,1193,Debit
2024-06-02,Amazon,Shopping,1721,Debit
2024-03-21,Swiggy,Food,367,Debit
2023-05-29,Uber,Transport,595,Debit
2024-03-20,Flipkart,Shopping,614,Debit
2023-07-30,Flipkart,Shopping,2046,Debit
2024-02-01,Flipkart,Shopping,2180,Debit
2023-05-31,Internet Bill,Utilities,1521,Debit
2023-08-01,Uber,Transport,1637,Debit
2023-05-21,Flipkart,Shopping,538,Debit
2024-10-23,Zomato,Food,1526,Debit
2024-06-17,Starbucks,Food,838,Debit
2024-10-05,Amazon,Shopping,904,Debit
2024-05-04,Starbucks,Food,669,Debit
2023-06-13,Amazon,Shopping,1707,Debit
2023-09-21,Swiggy,Food,1446,Debit
2024-02-08,Uber,Transport,1082,Debit
2024-07-17,Flipkart,Shopping,1151,Debit
2023-01-19,Ola,Transport,1517,Debit
2023-02-14,Zomato,Food,1763,Debit
2023-01-05,Ola,Transport,1721,Debit
2024-05-13,Uber,Transport,845,Debit
2024-06-15,Uber,Transport,1435,Debit
2024-11-22,Amazon,Shopping,1801,Debit
2023-01-22,Starbucks,Food,1594,Debit
2023-06-01,Flipkart,Shopping,1200,Debit
2024-04-25,Internet Bill,Utilities,1273,Debit
2024-01-10,Flipkart,Shopping,1383,Debit
2024-05-04,Uber,Transport,2094,Debit
2023-09-30,Flipkart,Shopping,534,Debit
2023-10-07,Zomato,Food,1654,Debit
2023-07-25,Zomato,Food,2144,Debit
2024-06-07,Swiggy,Food,691,Debit
2024-08-04,Uber,Transport,1413,Debit
2024-10-22,Gym Membership,Fitness,1800,Debit
2024-09-04,Uber,Transport,1204,Debit
2024-06-05,Ola,Transport,1987,Debit
2023-03-02,Starbucks,Food,1140,Debit
2023-06-30,Online Course,Education,2499,Debit
2023-03-22,Starbucks,Food,2044,Debit
2024-06-15,Flipkart,Shopping,1476,Debit
2024-05-14,Starbucks,Food,520,Debit
2024-11-30,Zomato,Food,805,Debit
2024-10-24,Amazon,Shopping,972,Debit
2024-08-18,Starbucks,Food,1168,Debit
2023-11-22,Flipkart,Shopping,1011,Debit
2024-10-09,Zomato,Food,1168,Debit
2024-06-03,Swiggy,Food,660,Debit
2024-12-26,Amazon,Shopping,343,Debit
2023-02-15,Zomato,Food,1021,Debit
2023-01-23,Flipkart,Shopping,1339,Debit
2023-11-21,Zomato,Food,475,Debit
2024-09-22,Netflix,Entertainment,649,Debit
2023-10-12,Zomato,Food,1337,Debit
2024-01-26,Online Course,Education,2499,Debit
2023-11-28,Swiggy,Food,334,Debit
2023-12-10,Amazon,Shopping,1361,Debit
2024-06-07,Zomato,Food,688,Debit
2024-08-12,Swiggy,Food,1503,Debit
2024-07-11,Flipkart,Shopping,532,Debit
2023-01-11,Amazon,Shopping,1916,Debit
2024-12-29,Starbucks,Food,2070,Debit
2024-09-22,Spotify,Music,199,Debit
2024-04-30,Flipkart,Shopping,1315,Debit
2024-04-25,Salary,Income,42000,Credit
2024-06-24,Hotstar,Entertainment,399,Debit
2024-04-06,Amazon,Shopping,2095,Debit
2024-01-11,Uber,Transport,682,Debit
2024-11-09,Zomato,Food,455,Debit
2024-02-20,Uber,Transport,726,Debit
2024-03-13,Flipkart,Shopping,2145,Debit
2023-03-15,Ola,Transport,401,Debit
2023-10-18,Zomato,Food,1259,Debit
2023-09-14,Ola,Transport,1538,Debit
2024-07-20,Flipkart,Shopping,1402,Debit
2024-01-01,Ola,Transport,932,Debit
2023-04-30,Starbucks,Food,871,Debit
2023-08-15,Zomato,Food,710,Debit
2023-03-19,Amazon,Shopping,1117,Debit
2023-04-10,Flipkart,Shopping,1874,Debit
2024-12-25,Ola,Transport,1978,Debit
2024-04-25,Mobile Recharge,Utilities,882,Debit
2024-11-16,Zomato,Food,1729,Debit
2023-04-04,Amazon,Shopping,513,Debit
2024-07-28,Uber,Transport,1619,Debit
2024-02-06,Starbucks,Food,1967,Debit
2023-10-08,Zomato,Food,1385,Debit
2024-07-30,Starbucks,Food,905,Debit
2023-09-08,Starbucks,Food,553,Debit
2023-07-30,Salary,Income,42000,Credit
2023-12-05,Swiggy,Food,894,Debit
2024-11-11,Swiggy,Food,1712,Debit
2023-04-23,Swiggy,Food,609,Debit
2023-11-29,Starbucks,Food,1681,Debit
2023-08-01,Swiggy,Food,1567,Debit
2024-11-28,Amazon,Shopping,1692,Debit
2023-03-08,Flipkart,Shopping,934,Debit
2024-02-18,Ola,Transport,1791,Debit
2023-10-21,Uber,Transport,1036,Debit
2024-07-07,Starbucks,Food,1447,Debit
2024-06-04,Amazon,Shopping,1182,Debit
2023-04-16,Uber,Transport,2119,Debit
2023-10-05,Zomato,Food,359,Debit
2024-07-23,Ola,Transport,2013,Debit
2024-05-23,Swiggy,Food,979,Debit
2023-10-28,Spotify,Music,199,Debit
2023-11-08,Amazon,Shopping,1967,Debit
2024-08-14,Ola,Transport,1701,Debit
2024-08-11,Starbucks,Food,2044,Debit
2023-11-22,Swiggy,Food,1979,Debit
2023-10-01,Ola,Transport,1609,Debit
2023-01-31,Amazon Prime,Shopping,299,Debit
2024-11-05,Zomato,Food,2040,Debit
2023-09-08,Starbucks,Food,2067,Debit
2024-01-03,Swiggy,Food,1253,Debit
2024-08-03,Starbucks,Food,889,Debit
2023-09-09,Flipkart,Shopping,422,Debit
2024-08-01,Uber,Transport,827,Debit
2024-03-26,Credit Card EMI,EMI,5200,Debit
2024-07-04,Starbucks,Food,461,Debit
2023-06-08,Ola,Transport,1001,Debit
2023-02-28,Swiggy,Food,2052,Debit
2024-06-29,Swiggy,Food,1732,Debit
2023-09-03,Swiggy,Food,1876,Debit
2024-10-10,Flipkart,Shopping,1162,Debit
2023-03-02,Gym Membership,Fitness,1800,Debit
2023-01-11,Ola,Transport,1913,Debit
2023-08-16,Uber,Transport,1968,Debit
2024-11-28,Flipkart,Shopping,2175,Debit
2023-09-13,Uber,Transport,1360,Debit
2023-12-27,Google Drive,Cloud,260,Debit
2023-11-15,Amazon,Shopping,997,Debit
2024-06-20,Uber,Transport,575,Debit
2023-03-17,Swiggy,Food,1138,Debit
2023-01-22,Ola,Transport,1696,Debit
2023-08-23,Zomato,Food,2013,Debit
2024-06-05,Amazon,Shopping,293,Debit
2024-02-01,Amazon,Shopping,343,Debit
2023-11-25,Swiggy,Food,813,Debit
2024-04-19,Ola,Transport,1959,Debit
2023-09-21,Ola,Transport,256,Debit
2023-10-05,Swiggy,Food,1401,Debit
2023-11-15,Zomato,Food,1565,Debit
2023-12-27,Flipkart,Shopping,1008,Debit
2023-05-31,Gym Membership,Fitness,1800,Debit
2024-04-25,Credit Card EMI,EMI,5200,Debit
2023-04-18,Uber,Transport,1225,Debit
2023-04-19,Zomato,Food,1143,Debit
2024-08-18,Zomato,Food,398,Debit
2024-12-02,Uber,Transport,2173,Debit
2024-11-07,Swiggy,Food,1173,Debit
2024-01-24,Starbucks,Food,759,Debit
2023-07-14,Uber,Transport,1432,Debit
2023-12-10,Zomato,Food,1681,Debit
2023-10-17,Amazon,Shopping,635,Debit
2024-03-19,Ola,Transport,1204,Debit
2023-07-31,Swiggy,Food,1504,Debit
2024-03-31,Starbucks,Food,1745,Debit
2024-06-24,Credit Card EMI,EMI,5200,Debit
2024-11-07,Amazon,Shopping,1555,Debit
2023-08-04,Ola,Transport,1725,Debit
2023-09-29,Amazon,Shopping,1832,Debit
2024-04-14,Amazon,Shopping,898,Debit
2023-03-11,Swiggy,Food,1432,Debit
2024-06-11,Ola,Transport,754,Debit
2023-05-11,Ola,Transport,1270,Debit
2024-02-25,Credit Card EMI,EMI,5200,Debit
2024-01-10,Swiggy,Food,2175,Debit
2023-09-22,Uber,Transport,1009,Debit
2024-06-01,Ola,Transport,676,Debit
2024-09-21,Starbucks,Food,1049,Debit
2023-12-08,Ola,Transport,787,Debit
2023-04-02,Uber,Transport,574,Debit
2023-06-26,Starbucks,Food,1252,Debit
2023-02-06,Ola,Transport,1149,Debit
2023-09-18,Zomato,Food,1440,Debit
2023-05-22,Flipkart,Shopping,1618,Debit
2024-04-17,Zomato,Food,1843,Debit
2023-05-14,Amazon,Shopping,1635,Debit
2024-05-23,Ola,Transport,1614,Debit
2024-05-03,Ola,Transport,1618,Debit
2023-08-22,Starbucks,Food,1198,Debit
2024-03-12,Swiggy,Food,403,Debit
2023-08-24,Starbucks,Food,1420,Debit
2023-12-04,Flipkart,Shopping,2098,Debit
2024-12-19,Ola,Transport,656,Debit
2024-09-20,Uber,Transport,399,Debit
2023-06-08,Amazon,Shopping,971,Debit
2023-02-24,Ola,Transport,716,Debit
2024-10-15,Zomato,Food,718,Debit
2023-11-11,Zomato,Food,1688,Debit
2024-08-03,Uber,Transport,1204,Debit
2023-02-25,Swiggy,Food,684,Debit
2024-11-21,Netflix,Entertainment,649,Debit
2024-09-22,Mobile Recharge,Utilities,789,Debit
2023-06-08,Starbucks,Food,749,Debit
2024-10-12,Zomato,Food,673,Debit
2024-09-10,Starbucks,Food,1002,Debit
2024-11-01,Amazon,Shopping,1416,Debit
2024-04-26,Amazon,Shopping,1735,Debit
2023-02-20,Starbucks,Food,503,Debit
2024-01-19,Ola,Transport,828,Debit
2024-11-18,Flipkart,Shopping,940,Debit
2024-05-28,Flipkart,Shopping,1886,Debit
2023-08-03,Starbucks,Food,697,Debit
2023-11-06,Swiggy,Food,1056,Debit
2024-03-26,Netflix,Entertainment,649,Debit
2023-04-15,Starbucks,Food,1232,Debit
2024-09-22,Electricity Bill,Utilities,3063,Debit
2023-01-30,Flipkart,Shopping,1714,Debit
2023-09-20,Zomato,Food,621,Debit
2023-03-25,Ola,Transport,907,Debit
2024-11-17,Zomato,Food,788,Debit
2024-09-22,Amazon,Shopping,2162,Debit
2023-07-19,Zomato,Food,1624,Debit
2023-06-21,Ola,Transport,2043,Debit
2024-01-09,Ola,Transport,1776,Debit
2023-04-01,Ola,Transport,1107,Debit
2023-11-01,Swiggy,Food,2176,Debit
2024-01-11,Starbucks,Food,737,Debit
2024-01-02,Uber,Transport,1993,Debit
2023-10-04,Ola,Transport,1974,Debit
2024-05-18,Flipkart,Shopping,1944,Debit
2023-06-28,Zomato,Food,2070,Debit
2023-07-27,Ola,Transport,1300,Debit
2024-11-24,Zomato,Food,1005,Debit
2024-03-11,Zomato,Food,1198,Debit
2023-04-24,Ola,Transport,1364,Debit
2023-08-29,Uber,Transport,542,Debit
2024-02-17,Ola,Transport,1654,Debit
2023-04-27,Flipkart,Shopping,1610,Debit
2024-08-23,Apple Music,Music,199,Debit
2023-10-30,Uber,Transport,407,Debit
2023-12-29,Zomato,Food,360,Debit
2023-01-18,Flipkart,Shopping,576,Debit
2023-11-30,Swiggy,Food,686,Debit
2023-03-14,Ola,Transport,2013,Debit
2023-07-14,Starbucks,Food,1312,Debit
2024-08-30,Uber,Transport,1571,Debit
2024-09-29,Flipkart,Shopping,1586,Debit
2023-01-01,Swiggy,Food,600,Debit
2024-10-14,Ola,Transport,1174,Debit
2024-10-25,Zomato,Food,657,Debit
2023-04-14,Ola,Transport,696,Debit
2023-11-24,Uber,Transport,1102,Debit
2024-04-11,Zomato,Food,1234,Debit
2023-07-30,Apple Music,Music,199,Debit
2024-09-19,Ola,Transport,2074,Debit
2024-05-03,Amazon,Shopping,1445,Debit
2024-01-26,Uber,Transport,323,Debit
2024-10-01,Starbucks,Food,2025,Debit
2023-12-20,Swiggy,Food,1111,Debit
2023-05-01,Amazon,Shopping,1583,Debit
2023-09-30,Uber,Transport,1561,Debit
2023-11-14,Zomato,Food,362,Debit
2024-01-22,Uber,Transport,1700,Debit
2023-03-06,Zomato,Food,1584,Debit
2023-10-20,Swiggy,Food,250,Debit
2024-08-15,Starbucks,Food,1530,Debit
2024-11-04,Swiggy,Food,812,Debit
2023-01-19,Amazon,Shopping,1639,Debit
2024-12-10,Uber,Transport,1335,Debit
2023-08-17,Uber,Transport,380,Debit
2023-03-18,Swiggy,Food,1666,Debit
2023-01-24,Flipkart,Shopping,1857,Debit
2024-01-05,Amazon,Shopping,2057,Debit
2024-12-09,Starbucks,Food,1407,Debit
2023-09-26,Amazon,Shopping,623,Debit
2024-01-26,Mobile Recharge,Utilities,800,Debit
2023-07-27,Flipkart,Shopping,434,Debit
2023-05-04,Starbucks,Food,1399,Debit
2023-12-06,Flipkart,Shopping,913,Debit
2024-12-17,Flipkart,Shopping,460,Debit
2024-01-15,Amazon,Shopping,1463,Debit
2024-02-25,Netflix,Entertainment,649,Debit
2024-01-25,Amazon,Shopping,1862,Debit
2024-07-02,Zomato,Food,435,Debit
2023-03-01,Uber,Transport,322,Debit
2023-06-21,Uber,Transport,1436,Debit
2023-05-08,Zomato,Food,2013,Debit
2023-07-01,Swiggy,Food,394,Debit
2023-04-19,Starbucks,Food,562,Debit
2023-07-07,Uber,Transport,660,Debit
2024-01-27,Flipkart,Shopping,682,Debit
2023-09-05,Ola,Transport,1726,Debit
2023-02-25,Flipkart,Shopping,1082,Debit
2023-04-13,Zomato,Food,1942,Debit
2023-12-01,Ola,Transport,1743,Debit
2023-04-25,Uber,Transport,451,Debit
2023-11-28,Flipkart,Shopping,2072,Debit
2024-07-16,Uber,Transport,276,Debit
2023-02-06,Starbucks,Food,574,Debit
2023-09-17,Flipkart,Shopping,347,Debit
2023-08-12,Flipkart,Shopping,1638,Debit
2024-08-19,Swiggy,Food,1501,Debit
2024-06-10,Amazon,Shopping,1624,Debit
2024-05-09,Swiggy,Food,830,Debit
2023-12-09,Amazon,Shopping,1440,Debit
2023-08-20,Starbucks,Food,500,Debit
2024-05-29,Amazon,Shopping,986,Debit
2024-10-22,Zomato,Food,959,Debit
2024-03-03,Uber,Transport,331,Debit
2023-01-01,Amazon,Shopping,1650,Debit
2023-12-03,Starbucks,Food,2096,Debit
2023-07-31,Starbucks,Food,750,Debit
2024-06-22,Amazon,Shopping,1708,Debit
2024-06-29,Amazon,Shopping,550,Debit
2023-07-20,Swiggy,Food,1479,Debit
2024-07-30,Ola,Transport,1110,Debit
2024-07-16,Amazon,Shopping,1595,Debit
2023-01-20,Starbucks,Food,1672,Debit
2023-06-03,Flipkart,Shopping,1129,Debit
2023-09-28,Spotify,Music,199,Debit
2024-06-01,Starbucks,Food,1735,Debit
2024-08-23,Electricity Bill,Utilities,2608,Debit
2023-08-29,Mobile Recharge,Utilities,884,Debit
2024-10-22,Swiggy,Food,802,Debit
2024-06-11,Swiggy,Food,380,Debit
2024-05-28,Ola,Transport,2079,Debit
2023-09-01,Flipkart,Shopping,1273,Debit
2024-04-25,Google Drive,Cloud,260,Debit
2024-06-17,Swiggy,Food,1939,Debit
2024-11-05,Zomato,Food,663,Debit
2023-03-12,Starbucks,Food,1337,Debit
2024-04-25,Hotstar,Entertainment,399,Debit
2023-04-09,Ola,Transport,1752,Debit
2023-03-10,Starbucks,Food,629,Debit
2023-06-02,Starbucks,Food,1946,Debit
2024-12-13,Uber,Transport,962,Debit
2024-10-18,Swiggy,Food,853,Debit
2023-03-14,Amazon,Shopping,286,Debit
2023-02-11,Ola,Transport,530,Debit
2023-10-17,Flipkart,Shopping,1803,Debit
2024-10-22,Hotstar,Entertainment,399,Debit
2023-07-19,Starbucks,Food,1038,Debit
2023-12-26,Ola,Transport,1799,Debit
2024-04-29,Amazon,Shopping,1515,Debit
2024-06-09,Zomato,Food,1180,Debit
2023-02-21,Flipkart,Shopping,1649,Debit
2024-01-10,Flipkart,Shopping,608,Debit
2023-12-24,Ola,Transport,1520,Debit
2024-11-09,Swiggy,Food,779,Debit
2023-07-10,Zomato,Food,516,Debit
2024-07-15,Uber,Transport,690,Debit
2024-05-06,Flipkart,Shopping,523,Debit
2023-02-11,Swiggy,Food,317,Debit
2023-10-23,Swiggy,Food,1066,Debit
2024-10-30,Swiggy,Food,1032,Debit
2023-01-19,Uber,Transport,1713,Debit
2024-09-03,Flipkart,Shopping,1679,Debit
2024-02-07,Amazon,Shopping,1156,Debit
2024-04-10,Zomato,Food,971,Debit
2024-02-10,Zomato,Food,1710,Debit
2024-11-06,Ola,Transport,1899,Debit
2024-02-29,Starbucks,Food,438,Debit
2023-09-12,Ola,Transport,1130,Debit
2024-06-28,Ola,Transport,728,Debit
2024-05-31,Flipkart,Shopping,1264,Debit
