Date,Transaction Description,Category,Amount,Type
2023-05-15,Uber,Transport,1299,Debit
2024-05-02,Swiggy,Food,1173,Debit
2024-07-28,Uber,Transport,933,Debit
2023-08-11,Blinkit,Groceries,1526,Debit
2024-09-22,Ola,Transport,1810,Debit
2024-06-05,Amazon,Shopping,2477,Debit
2024-12-09,Swiggy,Food,2210,Debit
2024-04-06,Uber,Transport,2093,Debit
2024-11-04,Ola,Transport,333,Debit
2024-04-17,Ola,Transport,1428,Debit
2023-03-24,Ola,Transport,1527,Debit
2024-10-10,Blinkit,Groceries,1557,Debit
2024-08-29,Amazon,Shopping,991,Debit
2023-05-16,Amazon,Shopping,1194,Debit
2024-12-24,Zomato,Food,1713,Debit
2023-06-07,Ola,Transport,520,Debit
2024-07-11,Swiggy,Food,939,Debit
2023-09-28,Buy Now Pay Later EMI,Loan,3100,Debit
2024-12-15,Amazon,Shopping,1563,Debit
2023-01-10,Starbucks,Food,1715,Debit
2024-12-13,Zomato,Food,1200,Debit
2023-11-15,Swiggy,Food,539,Debit
2023-08-24,Amazon,Shopping,2368,Debit
2024-08-23,Netflix,Entertainment,549,Debit
2023-09-26,Starbucks,Food,506,Debit
2024-10-16,Swiggy,Food,712,Debit
2024-09-28,Zomato,Food,1803,Debit
2023-10-01,Flipkart,Shopping,854,Debit
2023-05-10,Swiggy,Food,2437,Debit
2024-09-03,Amazon,Shopping,1982,Debit
2024-10-22,Starbucks,Food,2432,Debit
2023-11-18,Blinkit,Groceries,2147,Debit
2024-04-29,Zomato,Food,1752,Debit
2023-08-11,Blinkit,Groceries,780,Debit
2024-05-21,Flipkart,Shopping,1490,Debit
2024-03-08,Ola,Transport,1389,Debit
2023-11-06,Ola,Transport,1004,Debit
2024-03-13,Ola,Transport,2146,Debit
2023-09-20,Flipkart,Shopping,1718,Debit
2024-10-22,Internet Bill,Utilities,1381,Debit
2024-05-21,Flipkart,Shopping,570,Debit
2024-10-22,Netflix,Entertainment,549,Debit
2023-08-21,Flipkart,Shopping,1138,Debit
2023-12-27,Netflix,Entertainment,549,Debit
2023-03-21,Swiggy,Food,1650,Debit
2023-01-31,Mobile Recharge,Utilities,856,Debit
2023-10-15,Starbucks,Food,376,Debit
2023-12-22,Blinkit,Groceries,1180,Debit
2023-02-28,Zomato,Food,343,Debit
2024-04-07,Blinkit,Groceries,613,Debit
2024-01-23,Uber,Transport,2490,Debit
2024-08-12,Blinkit,Groceries,1213,Debit
2023-05-03,Blinkit,Groceries,1409,Debit
2024-07-01,Zomato,Food,882,Debit
2023-04-14,Flipkart,Shopping,1688,Debit
2024-11-25,Blinkit,Groceries,1181,Debit
2024-06-09,Ola,Transport,2257,Debit
2024-07-11,Flipkart,Shopping,1378,Debit
2023-11-27,Salary,Income,30000,Credit
2023-07-19,Ola,Transport,1445,Debit
2023-05-22,Blinkit,Groceries,2429,Debit
2024-12-19,Uber,Transport,468,Debit
2024-09-27,Blinkit,Groceries,1170,Debit
2024-06-11,Starbucks,Food,407,Debit
2023-06-28,Flipkart,Shopping,1386,Debit
2024-02-06,Flipkart,Shopping,2022,Debit
2023-07-14,Zomato,Food,2182,Debit
2024-07-24,Salary,Income,28000,Credit
2023-05-24,Uber,Transport,1218,Debit
2023-12-04,Uber,Transport,1412,Debit
2024-05-15,Flipkart,Shopping,830,Debit
2023-10-29,Uber,Transport,302,Debit
2023-05-31,Credit Card EMI,Loan,4200,Debit
2023-03-02,Zomato,Food,900,Debit
2023-06-03,Blinkit,Groceries,515,Debit
2024-10-15,Blinkit,Groceries,349,Debit
2024-10-05,Amazon,Shopping,1818,Debit
2023-08-05,Blinkit,Groceries,2128,Debit
2024-09-18,Flipkart,Shopping,1681,Debit
2023-08-12,Uber,Transport,751,Debit
2023-05-02,Uber,Transport,1126,Debit
2024-09-17,Zomato,Food,1802,Debit
2023-04-18,Starbucks,Food,1400,Debit
2023-09-21,Flipkart,Shopping,2480,Debit
2024-05-02,Blinkit,Groceries,712,Debit
2024-07-02,Uber,Transport,572,Debit
2023-03-23,Starbucks,Food,1989,Debit
2024-10-24,Uber,Transport,1860,Debit
2023-04-09,Flipkart,Shopping,1802,Debit
2024-11-08,Amazon,Shopping,753,Debit
2023-08-22,Zomato,Food,315,Debit
2023-08-02,Swiggy,Food,1707,Debit
2024-08-25,Blinkit,Groceries,1482,Debit
2024-04-25,Uber,Transport,875,Debit
2023-10-20,Uber,Transport,2253,Debit
2024-06-09,Uber,Transport,1165,Debit
2023-11-27,Amazon,Shopping,1301,Debit
2024-08-20,Zomato,Food,1187,Debit
2024-06-01,Uber,Transport,1390,Debit
2024-04-07,Uber,Transport,885,Debit
2024-04-28,Uber,Transport,1482,Debit
2024-09-22,Zomato,Food,720,Debit
2024-01-18,Blinkit,Groceries,1061,Debit
2024-02-06,Swiggy,Food,2267,Debit
2024-09-07,Ola,Transport,950,Debit
2024-05-03,Flipkart,Shopping,2029,Debit
2023-09-03,Swiggy,Food,1410,Debit
2023-01-29,Amazon,Shopping,1488,Debit
2023-01-08,Starbucks,Food,952,Debit
2024-02-25,Internet Bill,Utilities,1025,Debit
2024-04-14,Flipkart,Shopping,894,Debit
2023-03-02,Spotify,Music,199,Debit
2024-05-29,Swiggy,Food,2440,Debit
2023-08-11,Ola,Transport,1919,Debit
2023-10-21,Swiggy,Food,478,Debit
2024-07-21,Starbucks,Food,352,Debit
2023-02-11,Flipkart,Shopping,1248,Debit
2024-08-22,Starbucks,Food,2488,Debit
2024-05-25,Spotify,Music,199,Debit
2023-12-02,Swiggy,Food,1427,Debit
2024-03-26,Internet Bill,Utilities,1182,Debit
2023-10-03,Amazon,Shopping,2449,Debit
2023-08-26,Amazon,Shopping,2065,Debit
2023-08-22,Flipkart,Shopping,670,Debit
2024-07-02,Blinkit,Groceries,443,Debit
2024-09-08,Flipkart,Shopping,359,Debit
2023-07-10,Ola,Transport,1757,Debit
2024-04-25,Apple Music,Music,149,Debit
2024-12-28,Ola,Transport,1737,Debit
2024-04-16,Flipkart,Shopping,751,Debit
2023-05-01,Ola,Transport,2213,Debit
2023-06-03,Blinkit,Groceries,1571,Debit
2023-06-30,Amazon Prime,Shopping,299,Debit
2023-08-03,Blinkit,Groceries,1985,Debit
2023-01-31,Internet Bill,Utilities,1216,Debit
2024-04-11,Zomato,Food,1684,Debit
2024-11-27,Zomato,Food,1089,Debit
2024-02-06,Uber,Transport,1104,Debit
2023-06-18,Zomato,Food,608,Debit
2024-04-28,Ola,Transport,1913,Debit
2024-11-21,Electricity Bill,Utilities,2351,Debit
2024-10-04,Swiggy,Food,1149,Debit
2023-02-23,Uber,Transport,2014,Debit
2024-12-17,Starbucks,Food,532,Debit
2023-09-25,Flipkart,Shopping,1785,Debit
2024-01-23,Flipkart,Shopping,1804,Debit
2024-05-04,Ola,Transport,1489,Debit
2023-03-08,Uber,Transport,1647,Debit
2023-03-29,Starbucks,Food,941,Debit
2024-10-17,Blinkit,Groceries,1792,Debit
2024-05-11,Uber,Transport,1631,Debit
2023-02-27,Amazon,Shopping,910,Debit
2024-02-05,Zomato,Food,1498,Debit
2024-01-06,Swiggy,Food,915,Debit
2023-01-10,Starbucks,Food,314,Debit
2023-05-31,Google Drive,Cloud,260,Debit
2023-01-01,Blinkit,Groceries,528,Debit
2023-09-08,Amazon,Shopping,1254,Debit
2023-03-15,Ola,Transport,2258,Debit
2023-01-23,Uber,Transport,915,Debit
2023-02-15,Starbucks,Food,1376,Debit
2024-08-11,Ola,Transport,2234,Debit
2023-07-16,Flipkart,Shopping,341,Debit
2023-08-19,Zomato,Food,1526,Debit
2024-05-25,Hotstar,Entertainment,399,Debit
2024-06-02,Ola,Transport,890,Debit
2024-02-14,Amazon,Shopping,678,Debit
2023-04-02,Uber,Transport,2271,Debit
2024-11-21,Swiggy,Food,1483,Debit
2024-03-05,Uber,Transport,1012,Debit
2024-06-26,Blinkit,Groceries,1726,Debit
2024-12-05,Zomato,Food,1505,Debit
2024-02-25,Apple Music,Music,149,Debit
2024-08-17,Flipkart,Shopping,2305,Debit
2024-10-01,Blinkit,Groceries,1289,Debit
2023-09-20,Zomato,Food,1647,Debit
2024-06-18,Uber,Transport,1209,Debit
2024-02-20,Uber,Transport,1419,Debit
2023-07-25,Swiggy,Food,1051,Debit
2024-05-12,Amazon,Shopping,1767,Debit
2023-09-17,Zomato,Food,2122,Debit
2024-12-22,Starbucks,Food,991,Debit
2024-09-18,Ola,Transport,2204,Debit
2024-03-26,Personal Loan EMI,Loan,8500,Debit
2023-01-05,Zomato,Food,1042,Debit
2024-03-11,Uber,Transport,1376,Debit
2024-03-19,Blinkit,Groceries,2385,Debit
2023-12-30,Ola,Transport,1151,Debit
2023-08-12,Flipkart,Shopping,2309,Debit
2023-05-01,Internet Bill,Utilities,1476,Debit
2023-11-06,Ola,Transport,308,Debit
2023-01-18,Flipkart,Shopping,316,Debit
2023-02-25,Swiggy,Food,586,Debit
2023-03-02,Buy Now Pay Later EMI,Loan,3100,Debit
2023-12-07,Starbucks,Food,1067,Debit
2024-12-11,Blinkit,Groceries,527,Debit
2024-08-23,Electricity Bill,Utilities,2447,Debit
2023-11-21,Uber,Transport,2215,Debit
2024-09-13,Blinkit,Groceries,859,Debit
2024-06-12,Starbucks,Food,1244,Debit
2023-11-18,Flipkart,Shopping,498,Debit
2023-07-27,Uber,Transport,392,Debit
2024-01-26,Apple Music,Music,149,Debit
2023-02-26,Amazon,Shopping,2348,Debit
2023-11-17,Blinkit,Groceries,2459,Debit
2023-07-11,Uber,Transport,1767,Debit
2023-01-01,Personal Loan EMI,Loan,8500,Debit
2024-12-27,Flipkart,Shopping,941,Debit
2023-08-15,Uber,Transport,693,Debit
2024-05-01,Zomato,Food,1223,Debit
2024-12-11,Swiggy,Food,734,Debit
2023-06-23,Amazon,Shopping,695,Debit
2024-02-05,Blinkit,Groceries,473,Debit
2023-09-21,Ola,Transport,2145,Debit
2024-03-07,Amazon,Shopping,1540,Debit
2023-06-11,Uber,Transport,462,Debit
2024-08-13,Ola,Transport,364,Debit
2024-03-23,Uber,Transport,402,Debit
2023-10-01,Zomato,Food,328,Debit
2024-10-19,Zomato,Food,2423,Debit
2024-07-24,Spotify,Music,199,Debit
2023-07-06,Starbucks,Food,1567,Debit
2024-09-01,Starbucks,Food,915,Debit
2023-08-09,Uber,Transport,437,Debit
2024-02-25,Credit Card EMI,Loan,4200,Debit
2023-11-13,Flipkart,Shopping,1004,Debit
2024-06-19,Uber,Transport,2447,Debit
2023-01-19,Uber,Transport,857,Debit
2024-07-29,Zomato,Food,2020,Debit
2023-11-04,Blinkit,Groceries,1270,Debit
2024-11-10,Blinkit,Groceries,1376,Debit
2024-10-31,Blinkit,Groceries,1697,Debit
2023-03-02,Mobile Recharge,Utilities,689,Debit
2024-03-26,Flipkart,Shopping,1878,Debit
2023-11-08,Blinkit,Groceries,687,Debit
2023-03-20,Uber,Transport,814,Debit
2024-09-22,Flipkart,Shopping,1648,Debit
2024-11-14,Amazon,Shopping,547,Debit
2023-05-31,YouTube Premium,Entertainment,189,Debit
2024-08-31,Zomato,Food,2470,Debit
2023-01-01,Hotstar,Entertainment,399,Debit
2023-07-27,Amazon,Shopping,696,Debit
2024-01-16,Swiggy,Food,348,Debit
2023-09-17,Zomato,Food,731,Debit
2023-01-05,Swiggy,Food,1827,Debit
2024-02-20,Ola,Transport,1749,Debit
2023-03-05,Flipkart,Shopping,1248,Debit
2024-03-25,Amazon,Shopping,1750,Debit
2024-03-26,Hotstar,Entertainment,399,Debit
2024-07-29,Amazon,Shopping,389,Debit
2023-02-25,Amazon,Shopping,2239,Debit
2023-11-20,Amazon,Shopping,1713,Debit
2023-04-01,Apple Music,Music,149,Debit
2024-11-23,Ola,Transport,1532,Debit
2023-09-25,Amazon,Shopping,1009,Debit
2024-05-18,Zomato,Food,1845,Debit
2023-01-30,Zomato,Food,465,Debit
2024-03-19,Zomato,Food,2096,Debit
2024-05-22,Amazon,Shopping,727,Debit
2024-04-09,Uber,Transport,1578,Debit
2023-12-25,Amazon,Shopping,791,Debit
2024-12-04,Starbucks,Food,2444,Debit
2024-05-25,YouTube Premium,Entertainment,189,Debit
2024-10-06,Starbucks,Food,2450,Debit
2023-11-03,Blinkit,Groceries,930,Debit
2024-12-29,Uber,Transport,1756,Debit
2024-11-09,Swiggy,Food,1169,Debit
2023-03-02,Hotstar,Entertainment,399,Debit
2023-04-03,Uber,Transport,2162,Debit
2024-02-22,Ola,Transport,1129,Debit
2024-06-22,Amazon,Shopping,751,Debit
2024-04-25,Flipkart,Shopping,1034,Debit
2023-10-03,Uber,Transport,1726,Debit
2023-09-28,Gym Membership,Fitness,1800,Debit
2023-04-29,Blinkit,Groceries,1102,Debit
2023-09-21,Amazon,Shopping,1764,Debit
2024-09-22,Mobile Recharge,Utilities,627,Debit
2024-08-28,Zomato,Food,1874,Debit
2024-12-16,Amazon,Shopping,1660,Debit
2024-04-18,Ola,Transport,1902,Debit
2023-08-29,Uber,Transport,2117,Debit
2024-06-24,Hotstar,Entertainment,399,Debit
2024-01-22,Zomato,Food,1265,Debit
2023-01-08,Starbucks,Food,1491,Debit
2024-05-23,Amazon,Shopping,545,Debit
2023-01-09,Flipkart,Shopping,1509,Debit
2023-03-26,Uber,Transport,2199,Debit
2023-02-10,Uber,Transport,1549,Debit
2023-05-24,Ola,Transport,2482,Debit
2023-09-18,Starbucks,Food,2113,Debit
2024-04-04,Blinkit,Groceries,487,Debit
2024-09-10,Flipkart,Shopping,965,Debit
2023-05-17,Zomato,Food,1862,Debit
2024-01-29,Amazon,Shopping,1898,Debit
2023-11-16,Swiggy,Food,1423,Debit
2023-12-16,Amazon,Shopping,637,Debit
2023-10-10,Uber,Transport,1221,Debit
2024-01-13,Blinkit,Groceries,793,Debit
2023-07-14,Flipkart,Shopping,1635,Debit
2023-01-31,Buy Now Pay Later EMI,Loan,3100,Debit
2023-11-28,Amazon,Shopping,2353,Debit
2024-02-07,Swiggy,Food,1177,Debit
2024-07-11,Flipkart,Shopping,1232,Debit
2024-05-07,Blinkit,Groceries,962,Debit
2024-03-30,Blinkit,Groceries,583,Debit
2024-07-26,Flipkart,Shopping,652,Debit
2023-11-16,Uber,Transport,472,Debit
2024-10-27,Blinkit,Groceries,594,Debit
2024-10-04,Swiggy,Food,2192,Debit
2023-12-23,Swiggy,Food,1854,Debit
2024-08-27,Flipkart,Shopping,2189,Debit
2024-12-21,Zomato,Food,1014,Debit
2023-03-07,Flipkart,Shopping,1499,Debit
2023-01-07,Blinkit,Groceries,2024,Debit
2024-11-12,Blinkit,Groceries,1443,Debit
2023-01-31,Apple Music,Music,149,Debit
2024-01-12,Ola,Transport,518,Debit
2023-12-22,Swiggy,Food,760,Debit
2024-08-17,Zomato,Food,1732,Debit
2023-12-09,Starbucks,Food,900,Debit
2023-07-03,Blinkit,Groceries,1868,Debit
2024-01-07,Starbucks,Food,352,Debit
2024-05-03,Flipkart,Shopping,1171,Debit
2024-07-18,Uber,Transport,1353,Debit
2023-08-29,Amazon,Shopping,739,Debit
2023-09-28,YouTube Premium,Entertainment,189,Debit
2024-01-26,Amazon Prime,Shopping,299,Debit
2024-04-17,Uber,Transport,2289,Debit
2024-05-20,Zomato,Food,1308,Debit
2023-07-09,Swiggy,Food,1933,Debit
2023-04-17,Ola,Transport,1305,Debit
2024-09-18,Blinkit,Groceries,342,Debit
2024-09-22,Gym Membership,Fitness,1800,Debit
2023-01-12,Amazon,Shopping,609,Debit
2023-06-27,Swiggy,Food,896,Debit
2023-10-24,Swiggy,Food,2126,Debit
2024-08-31,Flipkart,Shopping,2288,Debit
2024-08-06,Blinkit,Groceries,569,Debit
2023-05-05,Zomato,Food,1001,Debit
2023-06-22,Ola,Transport,1365,Debit
2024-09-16,Amazon,Shopping,1060,Debit
2023-12-26,Amazon,Shopping,1030,Debit
2023-11-05,Flipkart,Shopping,486,Debit
2023-07-22,Starbucks,Food,323,Debit
2023-08-11,Swiggy,Food,837,Debit
2024-07-12,Starbucks,Food,330,Debit
2024-11-25,Swiggy,Food,1990,Debit
2023-06-05,Starbucks,Food,1853,Debit
2024-11-26,Uber,Transport,803,Debit
2024-08-13,Amazon,Shopping,1868,Debit
2023-06-14,Zomato,Food,828,Debit
2023-01-01,Gym Membership,Fitness,1800,Debit
2023-11-27,Buy Now Pay Later EMI,Loan,3100,Debit
2024-06-06,Blinkit,Groceries,2213,Debit
2023-05-01,Mobile Recharge,Utilities,655,Debit
2023-05-15,Flipkart,Shopping,721,Debit
2023-10-31,Ola,Transport,2093,Debit
2023-08-17,Zomato,Food,1777,Debit
2023-01-30,Flipkart,Shopping,971,Debit
2024-12-08,Ola,Transport,2308,Debit
2023-10-08,Amazon,Shopping,2008,Debit
2024-06-07,Amazon,Shopping,2308,Debit
2024-12-31,Amazon,Shopping,2407,Debit
2023-07-27,Amazon,Shopping,2305,Debit
2023-07-30,Uber,Transport,1646,Debit
2023-12-03,Starbucks,Food,503,Debit
2024-01-04,Blinkit,Groceries,1011,Debit
2023-10-11,Blinkit,Groceries,1096,Debit
2023-05-05,Uber,Transport,579,Debit
2023-05-24,Starbucks,Food,1002,Debit
2024-03-26,Zomato,Food,2480,Debit
2024-12-21,Credit Card EMI,Loan,4200,Debit
2024-03-25,Flipkart,Shopping,1096,Debit
2024-02-19,Blinkit,Groceries,2088,Debit
2024-09-25,Zomato,Food,360,Debit
2024-04-09,Swiggy,Food,730,Debit
2023-07-30,Personal Loan EMI,Loan,8500,Debit
2024-06-24,Netflix,Entertainment,549,Debit
2023-06-21,Amazon,Shopping,1728,Debit
2024-07-14,Ola,Transport,1419,Debit
2023-04-01,Hotstar,Entertainment,399,Debit
2024-10-31,Ola,Transport,1514,Debit
2023-08-07,Swiggy,Food,1061,Debit
2024-10-19,Swiggy,Food,786,Debit
2024-01-30,Blinkit,Groceries,1049,Debit
2024-04-16,Flipkart,Shopping,1152,Debit
2023-07-30,Amazon Prime,Shopping,299,Debit
2024-12-21,Hotstar,Entertainment,399,Debit
2023-01-29,Zomato,Food,2317,Debit
2024-04-29,Amazon,Shopping,609,Debit
2024-01-03,Uber,Transport,1632,Debit
2024-06-14,Ola,Transport,830,Debit
2024-06-24,YouTube Premium,Entertainment,189,Debit
2024-01-19,Zomato,Food,631,Debit
2024-03-10,Swiggy,Food,1073,Debit
2023-05-31,Hotstar,Entertainment,399,Debit
2024-02-17,Ola,Transport,1107,Debit
2023-05-04,Blinkit,Groceries,2500,Debit
2024-05-29,Zomato,Food,1517,Debit
2024-06-30,Swiggy,Food,363,Debit
2024-09-29,Swiggy,Food,2121,Debit
2024-10-04,Zomato,Food,546,Debit
2023-09-21,Zomato,Food,1846,Debit
2024-11-21,Internet Bill,Utilities,1404,Debit
2023-06-07,Swiggy,Food,1639,Debit
2023-12-20,Starbucks,Food,880,Debit
2023-12-07,Blinkit,Groceries,1123,Debit
2023-08-28,Starbucks,Food,1351,Debit
2024-04-17,Blinkit,Groceries,1283,Debit
2024-01-31,Uber,Transport,2006,Debit
2023-08-01,Zomato,Food,877,Debit
2024-07-23,Uber,Transport,1078,Debit
2023-09-28,Spotify,Music,199,Debit
2023-10-05,Amazon,Shopping,2148,Debit
2023-05-18,Blinkit,Groceries,890,Debit
2024-02-23,Ola,Transport,1312,Debit
2023-08-18,Zomato,Food,1702,Debit
2024-03-03,Blinkit,Groceries,696,Debit
2024-11-22,Swiggy,Food,1506,Debit
2023-04-01,Starbucks,Food,2079,Debit
2023-05-29,Uber,Transport,941,Debit
2023-05-29,Swiggy,Food,2235,Debit
2023-01-20,Starbucks,Food,1240,Debit
2024-08-01,Swiggy,Food,1408,Debit
2024-01-21,Ola,Transport,1903,Debit
2023-06-12,Ola,Transport,2341,Debit
2024-05-11,Swiggy,Food,316,Debit
2024-02-01,Zomato,Food,2313,Debit
2024-03-28,Uber,Transport,1946,Debit
2024-07-07,Amazon,Shopping,1173,Debit
2024-02-23,Ola,Transport,1509,Debit
2023-02-06,Uber,Transport,2247,Debit
2024-12-01,Zomato,Food,1176,Debit
2024-08-21,Starbucks,Food,1888,Debit
2024-12-06,Swiggy,Food,1779,Debit
2024-05-31,Blinkit,Groceries,2233,Debit
2023-02-27,Ola,Transport,1754,Debit
2024-11-22,Zomato,Food,2038,Debit
2023-03-19,Ola,Transport,482,Debit
2023-08-29,Google Drive,Cloud,260,Debit
2024-08-23,Spotify,Music,199,Debit
2023-09-16,Ola,Transport,493,Debit
2024-09-18,Blinkit,Groceries,2267,Debit
2023-03-31,Starbucks,Food,1181,Debit
2024-03-20,Ola,Transport,390,Debit
2024-10-06,Flipkart,Shopping,1034,Debit
2024-03-20,Ola,Transport,1148,Debit
2023-06-14,Swiggy,Food,589,Debit
2023-12-28,Ola,Transport,2499,Debit
2024-07-29,Swiggy,Food,2249,Debit
2024-05-26,Flipkart,Shopping,796,Debit
2024-08-28,Starbucks,Food,1794,Debit
2023-06-03,Uber,Transport,1604,Debit
2023-02-22,Zomato,Food,352,Debit
2024-06-07,Zomato,Food,1789,Debit
2023-04-14,Amazon,Shopping,1610,Debit
2023-11-27,Credit Card EMI,Loan,4200,Debit
2023-01-04,Starbucks,Food,1934,Debit
2023-12-21,Zomato,Food,470,Debit
2023-05-30,Swiggy,Food,1091,Debit
2023-02-14,Starbucks,Food,631,Debit
2023-09-24,Zomato,Food,2471,Debit
2023-04-14,Flipkart,Shopping,1770,Debit
2023-01-16,Blinkit,Groceries,1867,Debit
2024-02-11,Amazon,Shopping,1540,Debit
2023-06-02,Amazon,Shopping,1722,Debit
2023-05-16,Blinkit,Groceries,481,Debit
2024-08-22,Uber,Transport,2024,Debit
2023-10-17,Blinkit,Groceries,2019,Debit
2023-10-28,YouTube Premium,Entertainment,189,Debit
2024-07-12,Flipkart,Shopping,2177,Debit
2024-08-15,Flipkart,Shopping,1678,Debit
2023-01-05,Ola,Transport,1575,Debit
2023-06-30,Zomato,Food,1674,Debit
2024-07-16,Blinkit,Groceries,1297,Debit
2024-04-25,Netflix,Entertainment,549,Debit
2023-06-12,Ola,Transport,1871,Debit
2023-05-18,Uber,Transport,1157,Debit
2023-06-30,Amazon,Shopping,1872,Debit
2023-06-25,Blinkit,Groceries,1248,Debit
2024-04-19,Amazon,Shopping,836,Debit
2024-12-19,Amazon,Shopping,664,Debit
2023-11-27,Netflix,Entertainment,549,Debit
2024-01-12,Ola,Transport,1210,Debit
2024-06-09,Uber,Transport,1900,Debit
2023-06-24,Blinkit,Groceries,801,Debit
2023-05-15,Swiggy,Food,788,Debit
2024-09-19,Amazon,Shopping,604,Debit
2023-05-31,Spotify,Music,199,Debit
2024-01-31,Swiggy,Food,1225,Debit
2023-07-12,Uber,Transport,2169,Debit
2023-05-03,Swiggy,Food,2105,Debit
2023-07-04,Blinkit,Groceries,1506,Debit
2023-10-08,Uber,Transport,511,Debit
2024-02-11,Flipkart,Shopping,1295,Debit
2024-06-29,Zomato,Food,629,Debit
2024-01-18,Amazon,Shopping,1351,Debit
2023-08-31,Uber,Transport,1638,Debit
2023-06-26,Ola,Transport,1558,Debit
2023-03-04,Starbucks,Food,1671,Debit
2024-04-10,Swiggy,Food,2285,Debit
2024-08-07,Starbucks,Food,1737,Debit
2023-07-04,Starbucks,Food,780,Debit
2023-11-22,Amazon,Shopping,2267,Debit
2024-06-24,Starbucks,Food,1271,Debit
2024-01-27,Flipkart,Shopping,914,Debit
2024-03-26,Netflix,Entertainment,549,Debit
2024-08-13,Amazon,Shopping,913,Debit
2023-04-08,Blinkit,Groceries,1382,Debit
2024-11-10,Zomato,Food,842,Debit
2023-08-29,Spotify,Music,199,Debit
2023-04-16,Ola,Transport,756,Debit
2024-05-14,Flipkart,Shopping,1344,Debit
2024-12-27,Starbucks,Food,1694,Debit
2024-01-08,Flipkart,Shopping,1197,Debit
2023-01-07,Blinkit,Groceries,628,Debit
2024-04-30,Starbucks,Food,978,Debit
2023-01-03,Flipkart,Shopping,1061,Debit
2024-11-17,Amazon,Shopping,1308,Debit
2024-09-02,Amazon,Shopping,2099,Debit
2024-10-22,Mobile Recharge,Utilities,707,Debit
2023-01-03,Blinkit,Groceries,1258,Debit
2023-03-18,Blinkit,Groceries,2334,Debit
2024-07-25,Ola,Transport,2335,Debit
2023-06-27,Ola,Transport,1712,Debit
2023-02-26,Uber,Transport,1490,Debit
2023-02-16,Ola,Transport,1170,Debit
2023-02-06,Ola,Transport,1006,Debit
2023-11-12,Amazon,Shopping,841,Debit
2023-03-01,Ola,Transport,660,Debit
2024-08-23,Hotstar,Entertainment,399,Debit
2023-07-13,Zomato,Food,520,Debit
2023-04-05,Starbucks,Food,301,Debit
2024-10-05,Zomato,Food,2173,Debit
2024-03-26,Swiggy,Food,1632,Debit
2023-11-16,Flipkart,Shopping,1005,Debit
2023-01-27,Blinkit,Groceries,628,Debit
2023-08-30,Blinkit,Groceries,2447,Debit
2023-09-19,Blinkit,Groceries,850,Debit
2024-02-24,Amazon,Shopping,837,Debit
2024-03-21,Starbucks,Food,905,Debit
2024-08-18,Ola,Transport,452,Debit
2023-12-02,Swiggy,Food,1642,Debit
2023-03-13,Swiggy,Food,2380,Debit
2024-05-30,Ola,Transport,568,Debit
2023-10-28,Salary,Income,32000,Credit
2023-05-08,Ola,Transport,1439,Debit
2024-06-18,Blinkit,Groceries,789,Debit
2023-03-21,Flipkart,Shopping,912,Debit
2023-03-02,Salary,Income,28000,Credit
2023-06-30,Ola,Transport,1627,Debit
2023-06-15,Flipkart,Shopping,1099,Debit
2023-10-28,Gym Membership,Fitness,1800,Debit
2024-04-07,Amazon,Shopping,1612,Debit
2024-07-19,Swiggy,Food,1611,Debit
